,keyword,text,lat,long,census,comp,category,LILATracts_1And10,county
32,kale,Some tasty meals this week I havent gotten to post. Keto turkey meatball and kale soup and Cajun butter steak with roasted Brussels sprouts #keto #cleaneats ,39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
33,lettuce,""" JUICING/BLENDING ""
MY SUPER JUICE
2 CUCUMBER 
2 FRESH PEACHES AND 
2 TOMATOES AND 
2 HANDFULS OF KALE/LETTUCE 
1 GRANNY SMITH APPLE 
23 STALKS OF CELERY
BLEND W
1 CUP FROZEN ",39.998000000000005,-75.1448,42101017500,0.8256,healthy,0,42101
34,fruit,Ive been roasting this awesome fruit bomb from #Burundi for a few years now. Ive got to say this is the cleanest strawberrys and cream Natural Ive ever tasted. Soooo good. ,39.998000000000005,-75.1448,42101017500,0.795,healthy,0,42101
35,brussels sprouts,Some tasty meals this week I havent gotten to post. Keto turkey meatball and kale soup and Cajun butter steak with roasted Brussels sprouts #keto #cleaneats ,39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
36,turkey,Some tasty meals this week I havent gotten to post. Keto turkey meatball and kale soup and Cajun butter steak with roasted Brussels sprouts #keto #cleaneats ,39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
37,cucumber,""" JUICING/BLENDING ""
MY SUPER JUICE
2 CUCUMBER 
2 FRESH PEACHES AND 
2 TOMATOES AND 
2 HANDFULS OF KALE/LETTUCE 
1 GRANNY SMITH APPLE 
23 STALKS OF CELERY
BLEND W
1 CUP FROZEN ",39.998000000000005,-75.1448,42101017500,0.8256,healthy,0,42101
38,almond,"This week--&gt;next week = chanterelles-almond pesto, green garlic,  sauteed greens, taleggio, prosciutto. Spring is near. @ Philadelphia, Pennsylvania ",39.99800000000001,-75.1448,42101017500,0.0,healthy,0,42101
39,asparagus,"Its a asparagus PESTO surprise. I could eat a whole dish of these. 4 different ways to serve pesto on a crostini. 

Ingredients:
1 bunch asparagus, trimmed, cooked and blanched in cold ",39.99800000000001,-75.1448,42101017500,0.2732,healthy,0,42101
40,avocado,"Serve as is immediately or transfer to sealable container and let sit overnight. Ive been told that the avocado pot keeps browning down. Maybe, maybe not. I like how it looks anyway. ",39.99800000000001,-75.1448,42101017500,-0.2755,healthy,0,42101
41,avocado,"Finish mashing up your avocado and scrape the pestle (tejolate, I think?) down as best you can. Add chopped pepper and red onion. Coriander leaf, sorry, Cilantro can be added here if you ",39.99800000000001,-75.1448,42101017500,0.5994,healthy,0,42101
42,avocado,"Quartered avocados peel wonderfully. I add avocado in batches, small chunks one or two at a time then bigger chunks. You can vary how chunky the end product is this way. Want smooth? Small ",39.99800000000001,-75.1448,42101017500,0.6369,healthy,0,42101
43,avocado,"Mix in a teaspoon and change of oil. Olive oil works, this is avocado oil and it should work. Corn oil might work too. @ Philadelphia, Pennsylvania ",39.99800000000001,-75.1448,42101017500,0.0516,healthy,0,42101
44,bean,"Coffee without the crash? Improve your cognitive functions. Drink fewer cups and receive the same benefits. 
If don't want the added nootropics you can still buy whole bean and ",39.99800000000001,-75.1448,42101017500,0.3027,healthy,0,42101
45,cherry,"Happy #NationalBlackForestCakeDay! Try this cupcake version - dark chocolate cupcakes stuffed with cherry filling, topped with fresh whipped cream frosting, chocolate shavings, and ",39.99800000000001,-75.1448,42101017500,0.7424,healthy,0,42101
46,corn,"Mix in a teaspoon and change of oil. Olive oil works, this is avocado oil and it should work. Corn oil might work too. @ Philadelphia, Pennsylvania ",39.99800000000001,-75.1448,42101017500,0.0516,healthy,0,42101
47,lamb,"Today I may feel like a human potato, but tomorrow Im excited to get prepping for this Saturdays Out Like a Lamb craft show and flea market at @buildingbok!

Part of my prep will be ",39.99800000000001,-75.1448,42101017500,0.8122,healthy,0,42101
48,orange,"Orange line IV.____________
______________________#subway
______________#streetstyle 
 #explore215 #citylimitless #whyilovephilly #visitphilly #philly #tasteintravel #shoot2kill ",39.99800000000001,-75.1448,42101017500,0.0,healthy,0,42101
49,almond,"Such a fun Sunday breakfast! Almond butter, some banana and berries smashed up for jelly on a collard wrap. Healthy eating can truly be satisfying and fueling. Upping my health game this ",34.07347,-118.40033000000001,06037700801,0.9041,healthy,0,06037
50,banana,"Such a fun Sunday breakfast! Almond butter, some banana and berries smashed up for jelly on a collard wrap. Healthy eating can truly be satisfying and fueling. Upping my health game this ",34.07347,-118.40033000000001,06037700801,0.9041,healthy,0,06037
51,fish,"#trans #kween @Krystaldelite  #photoshoot #fish caught in #fishnet #slayqueen  @ Beverly Hills, California ",34.07347,-118.40033000000001,06037700801,0.0,healthy,0,06037
52,milk,"Milk shakes &amp; cookies #chefjaydene #seasaltsagela #dessertideas #cute #forthekids #milkshake #cookies #dessert #fun #privatechef #beverlyhills #luxuryliving #onlythebest @ Beverly Hills, ",34.07347,-118.40033000000001,06037700801,0.0,healthy,0,06037
53,milk,When you dont have a blender to make milk shakes...kids are perfect and fun! #chefjaydene #seasaltsagela #milkshake #handmade #icecream #kidscooking #dessert #kidsinthekitchen ,34.07347,-118.40033000000001,06037700801,0.807,healthy,0,06037
54,orange,"Confit fennel &amp; endive with blood orange #sabzi &amp; borage #soign @factorypr @ Beverly Hills, California ",34.07347,-118.40033000000001,06037700801,0.0,healthy,0,06037
55,almond,"Illy coffee and an almond croissant kind of morning. (@ Gios in Montrose, CA)  ",34.20588660000001,-118.22814827,06037300600,0.0,healthy,0,06037
56,lamb,EASTER BUNNIES! and lambs all dressed up and waiting for you!  #easter #bunny #rabbit #lamb #best #spring #homedecor #gifts #shop #montrose @ Montrose Shopping Park Association ,34.20618393,-118.22994973,06037300600,0.0,healthy,0,06037
57,almond,"FLOURLESS PANCAKES-NONDAIRY OPTION IS EZ!   

Almonds, Walnuts, Quinoa, Baking Soda. Bullet Grind.  Add Almond Milk and Egg (the egg is optional) bullet a bit more!  Fry in Olive Oil ",38.89915,-77.02851,11001005800,0.5882,healthy,0,11001
58,cherry,"I'm at National Cherry Blossom Festival, Inc. in Washington, DC ",38.90241779,-77.02309689,11001005800,0.4939,healthy,0,11001
59,cherry,Drinking a Cherry Blossom Fest by District Chophouse and Brewery @ District Chophouse &amp; Brewery  ,38.8965,-77.0219,11001005800,0.0,healthy,0,11001
60,chicken,"Loved the #Mediterranean fare oliviawdc - the Savory Chicken Bastilla  blew my mind with how humble and delicious it was. Other faves included the Chickpea Ravioli with""Bolognese"",  ",38.89699,-77.02329,11001005800,0.8225,healthy,0,11001
61,egg,"FLOURLESS PANCAKES-NONDAIRY OPTION IS EZ!   

Almonds, Walnuts, Quinoa, Baking Soda. Bullet Grind.  Add Almond Milk and Egg (the egg is optional) bullet a bit more!  Fry in Olive Oil ",38.89915,-77.02851,11001005800,0.5882,healthy,0,11001
62,egg,Good morning guys. Who wants a cheese burger with a fried egg on top? Come to @metrocenter  and we will fix it for you. See you soon amigos.,38.8983281,-77.0282509,11001005800,0.5719,healthy,0,11001
63,milk,"FLOURLESS PANCAKES-NONDAIRY OPTION IS EZ!   

Almonds, Walnuts, Quinoa, Baking Soda. Bullet Grind.  Add Almond Milk and Egg (the egg is optional) bullet a bit more!  Fry in Olive Oil ",38.89915,-77.02851,11001005800,0.5882,healthy,0,11001
64,fruit,"When youve been in the media room for hours and get so excited about fruit snacks! #marchmadness (at @CapitalOneArena in Washington, DC) ",38.89817675,-77.02081647,11001005800,0.528,healthy,0,11001
65,quinoa,"FLOURLESS PANCAKES-NONDAIRY OPTION IS EZ!   

Almonds, Walnuts, Quinoa, Baking Soda. Bullet Grind.  Add Almond Milk and Egg (the egg is optional) bullet a bit more!  Fry in Olive Oil ",38.89915,-77.02851,11001005800,0.5882,healthy,0,11001
66,cherry,"Got a last minute ticket to the Caps vs Hurricanes game on a whim. Bonus was to get this guy! KMA, Don Cherry!! #Caps ",38.89814000000001,-77.02079,11001005800,0.6571,healthy,0,11001
67,cherry,"The blossoms are coming, the blossoms are coming!

Check out all the great cherry blossom cocktails blanketing DC this season like this beauty from momofukudc

#Repost ",38.90070228,-77.02671289,11001005800,0.908,healthy,0,11001
68,cherry,"Central is seeing pink this Spring!  In honor of the 2019 National Cherry Blossom festival, Central looks forward to serving up a seasonal Cherry Cheesecake dessert and a Cherry Blossom ",38.89505,-77.02651,11001005800,0.7712,healthy,0,11001
69,almond,"Almond milk with Collagen Peptides matcha and left over berries  #ISTHATPATCHY @ Milwaukee, Wisconsin ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
70,banana,"So I had some of the flowers left over, and I made a coconut chia seed pudding with a banana, Matcha, Kale and Wheatgrass powder and a date!
This was so great. I love Matcha so much, and ",43.0373,-87.9188,55079186300,0.9003,healthy,0,55079
71,chicken,Mumford and Sons and a chicken Sammy from Iron Grate! - Drinking a Cave Ale by @PotosiBrewingCo at @fiservforum   ,43.045,-87.9168,55079186300,0.0,healthy,0,55079
72,corn,"My husband is starting to dislike watering plant days.. 
Not quite sure as to why..

I haven't told him yet but I split the Corn Plant, so there will be another little guy hanging ",43.0373,-87.9188,55079186300,-0.3377,healthy,0,55079
73,kale,"So I had some of the flowers left over, and I made a coconut chia seed pudding with a banana, Matcha, Kale and Wheatgrass powder and a date!
This was so great. I love Matcha so much, and ",43.0373,-87.9188,55079186300,0.9003,healthy,0,55079
74,milk,"Almond milk with Collagen Peptides matcha and left over berries  #ISTHATPATCHY @ Milwaukee, Wisconsin ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
75,orange,Yum - Drinking a Write Drunk Edit Sober by Fat Orange Cat Brew Co. at @mkebrewco   ,43.0451,-87.9224,55079186300,-0.34,healthy,0,55079
76,yogurt,On the menu today: Greek Chicken Gyros with homemade Tzaziki Sauce &amp; they turned out so tasty.  Marinating meats in yogurt &amp; seasonings overnight makes for very succulent protein.  ,43.0373,-87.9188,55079186300,0.0,healthy,0,55079
77,almond,"In honor of Purim, I tried my first attempt at making Hamantaschen cookies! I took classic flavors and elevated them in the fillings: Lavender-Vanilla Poppy Seed, Almond-Rose Poppy Seed, &amp; ",43.04367,-87.92087,55079186300,0.5411,healthy,0,55079
78,almond,"I made sprouted Buckwheat groats with Almond Butter, coconut milk and then blend it all up! I added Flax, nuts and seeds, Goji berries (been so long since I've had them!) Strawberries, ",43.0373,-87.9188,55079186300,-0.4374,healthy,0,55079
79,beef,"""Beef"" and Broccoli Lettuce Wraps. 

I wanted to give Jack Fruit another try. I had previously tried it when living in Kelowna. I had purchased this packaged Jackfruit Curry, ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
80,broccoli,"""Beef"" and Broccoli Lettuce Wraps. 

I wanted to give Jack Fruit another try. I had previously tried it when living in Kelowna. I had purchased this packaged Jackfruit Curry, ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
81,carrot,"I am madly in love with this dehydrator! 
Now I have all of the veggie chips for when I'm craving crunchy things!

I will be making some carrot pulp crackers soon as well, they'll be ",43.0373,-87.9188,55079186300,0.6351,healthy,0,55079
82,kale,"I stayed up late tonight just to see how my kale chips turned out!

Kale
Coconut Oil
Nutritional Yeast
Himalayan Rock salt 
115F in Dehydrator for 10 hrs. 
They're so crispy and ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
83,lettuce,"""Beef"" and Broccoli Lettuce Wraps. 

I wanted to give Jack Fruit another try. I had previously tried it when living in Kelowna. I had purchased this packaged Jackfruit Curry, ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
84,fruit,"""Beef"" and Broccoli Lettuce Wraps. 

I wanted to give Jack Fruit another try. I had previously tried it when living in Kelowna. I had purchased this packaged Jackfruit Curry, ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
85,broccoli,"""Beef"" and Broccoli Lettuce Wraps. 

I wanted to give Jack Fruit another try. I had previously tried it when living in Kelowna. I had purchased this packaged Jackfruit Curry, ",43.0373,-87.9188,55079186300,0.0,healthy,0,55079
86,turkey,"Gaze upon the beauty that is our Turkey Meatloaf and Bacon sandwich! Topped with sweet and sour onions, smoked farmers cheese and finished with our house made ",43.0373,-87.9188,55079186300,0.7959,healthy,0,55079
87,almond,"#Breakfast at work. #vegan #veganlife #smoothie Spinach, Mango, Strawberry, Banana, Almond Milk @ Raleigh, North Carolina ",35.7772,-78.6358,37183050100,0.0,healthy,0,37183
88,banana,"#Breakfast at work. #vegan #veganlife #smoothie Spinach, Mango, Strawberry, Banana, Almond Milk @ Raleigh, North Carolina ",35.7772,-78.6358,37183050100,0.0,healthy,0,37183
89,chicken,"Classic Sunday with this classic meal.

#chickenwaffles #beasleyschickenandhoney #downtownnc
#raleighblogger #eatlocal #downtownraleigh @ Beasley's Chicken + Honey ",35.77701906,-78.63816449,37183050100,0.0,healthy,0,37183
90,chicken,"What happens when chicken meets egg? The most delicious brunch ever. Our reunion sandwich features fried chicken, a fried egg, cheese sauce and a biscuit. @ Beasley's ",35.77701906,-78.63816449,37183050100,0.6115,healthy,0,37183
91,egg,"What happens when chicken meets egg? The most delicious brunch ever. Our reunion sandwich features fried chicken, a fried egg, cheese sauce and a biscuit. @ Beasley's ",35.77701906,-78.63816449,37183050100,0.6115,healthy,0,37183
92,mango,"#Breakfast at work. #vegan #veganlife #smoothie Spinach, Mango, Strawberry, Banana, Almond Milk @ Raleigh, North Carolina ",35.7772,-78.6358,37183050100,0.0,healthy,0,37183
93,milk,Drinking a Midnight Delight Dark Chocolate Milk Stout by @CloudsRaleigh at @CloudsRaleigh  ,35.7825,-78.6457,37183050100,0.6808,healthy,0,37183
94,milk,"#Breakfast at work. #vegan #veganlife #smoothie Spinach, Mango, Strawberry, Banana, Almond Milk @ Raleigh, North Carolina ",35.7772,-78.6358,37183050100,0.0,healthy,0,37183
95,orange,"Ada is here ready for @AFARaleigh919 story + craft hour sitting with our fab selection of books + accessories ready to go home with you today at SUPER SAVINGS! ORANGE DOTS= BUY 1 SAVE 30%, ",35.77852,-78.63772,37183050100,0.9506,healthy,0,37183
96,orange,"Getting ready for our Super 2-day Spring Sale &amp; making room for so many fabulous new books &amp; accessories! All orange dot=30% off, 2nd item 40%, 3rd item save 50%!!
#supersale ",35.77852,-78.63772,37183050100,0.9343,healthy,0,37183
97,fruit,CASK ON FOOLS: into the mystic feeder aged. Lovely sour and fruit notes. - Drinking an Into the Mystic by @starpointbrewin at @CrankArmBrew   ,35.7756,-78.6439,37183050100,-0.0343,healthy,0,37183
98,fruit,CASK ON FOOLS version. Caramely and smooth dark fruit. Love it! - Drinking a Barleywine Is Leif by @glassjug at @CrankArmBrew   ,35.7756,-78.6439,37183050100,0.1429,healthy,0,37183
99,spinach,"#Breakfast at work. #vegan #veganlife #smoothie Spinach, Mango, Strawberry, Banana, Almond Milk @ Raleigh, North Carolina ",35.7772,-78.6358,37183050100,0.0,healthy,0,37183
100,chicken,Make tomorrow's lunch plan today. Every Friday we feature fried NC fish with fries and roasted tomato slaw....so see you tomorrow?? @ Beasley's Chicken + Honey ,35.77701906,-78.63816449,37183050100,0.0,healthy,0,37183
101,chicken,Need a quick delicious lunch? Get a chicken salad sandwich to go. @ Chuck's ,35.77705,-78.63803,37183050100,0.5719,healthy,0,37183
102,chicken,Can't help but love a snack that comes with its own handle. Smoked chicken legs with Alabama white sauce make a great way to start your next meal with us. @ Beasley's ,35.77701906,-78.63816449,37183050100,0.1202,healthy,0,37183
103,chicken,"Feeling cute, might delete later. (: 144kitchen) @ Beasley's Chicken + Honey ",35.77701906,-78.63816449,37183050100,0.7717,healthy,0,37183
104,fish,Make tomorrow's lunch plan today. Every Friday we feature fried NC fish with fries and roasted tomato slaw....so see you tomorrow?? @ Beasley's Chicken + Honey ,35.77701906,-78.63816449,37183050100,0.0,healthy,0,37183
105,oatmeal,Wake and Bake Oatmeal Stout from @terrapinbeerco #pintsforksfriends mode! @ Whiskey Kitchen ,35.77670999999999,-78.64215,37183050100,0.2481,healthy,0,37183
106,almond,Love the Clean Lines of Pate- Petit Veal and Almond Pate en Croute #chefsclubnyc #comeandgetit #nyc #spring #pate @ Chefs Club NY ,40.7243983,-73.9953666,36061004300,0.7845,healthy,0,36061
107,rice,A Rice Pudding store! Be still my heart. Maybe not. @ Rice to Riches ,40.721892,-73.995774,36061004300,-0.471,healthy,0,36061
108,rice,"Family!!!! This right here tho!! Pee game:
Miso Salmon Scallion Ginger Salad, Cashews, Buckwheat Brown Rice. (Gluten-Free)
-
-
IMPOSSIBLE Kasa Bun
Vegan. Sesame pickles, ",40.722235,-73.996691,36061004300,0.0,healthy,0,36061
109,rice,"This rice pudding from ricetorichesnyc defeated me yesterday. 
I couldnt even get through half of it. It was so damn good though. 
So many flavours to choose from! 
YOU MUST GO! 

aladdin ",40.721892,-73.995774,36061004300,-0.612,healthy,0,36061
110,almond,"2 eggs
2 scoops of maxeffortmuscle protein 
2tbs of almond milk
1tbs of cinnamon 
1tbs of flaxseed 
1 mashed banana

Protein topping:  1 scoop of max effort PB ",35.95986,-87.1367,47187050504,0.1531,healthy,0,47187
111,banana,"2 eggs
2 scoops of maxeffortmuscle protein 
2tbs of almond milk
1tbs of cinnamon 
1tbs of flaxseed 
1 mashed banana

Protein topping:  1 scoop of max effort PB ",35.95986,-87.1367,47187050504,0.1531,healthy,0,47187
112,milk,"2 eggs
2 scoops of maxeffortmuscle protein 
2tbs of almond milk
1tbs of cinnamon 
1tbs of flaxseed 
1 mashed banana

Protein topping:  1 scoop of max effort PB ",35.95986,-87.1367,47187050504,0.1531,healthy,0,47187
113,almond,"Good Sunday morning!  Leftover almond flour biscuit and frittata with lots of kale and mushrooms, subbed in vegetable broth for milk. But I have ALOT of kale so my ratio of veggies to ",39.6831,-77.7164,24043010300,0.4926,healthy,0,24043
114,kale,"Good Sunday morning!  Leftover almond flour biscuit and frittata with lots of kale and mushrooms, subbed in vegetable broth for milk. But I have ALOT of kale so my ratio of veggies to ",39.6831,-77.7164,24043010300,0.4926,healthy,0,24043
115,milk,"Good Sunday morning!  Leftover almond flour biscuit and frittata with lots of kale and mushrooms, subbed in vegetable broth for milk. But I have ALOT of kale so my ratio of veggies to ",39.6831,-77.7164,24043010300,0.4926,healthy,0,24043
116,vegetable,"Good Sunday morning!  Leftover almond flour biscuit and frittata with lots of kale and mushrooms, subbed in vegetable broth for milk. But I have ALOT of kale so my ratio of veggies to ",39.6831,-77.7164,24043010300,0.4926,healthy,0,24043
117,almond,Drinking a Cherry Almond Biscotti Barrel-Aged Might Meets Right (2018) by @temperancebeer at @FischmanHouse  ,41.9544,-87.7493,17031150200,0.0,healthy,0,17031
118,cherry,Drinking a Cherry Almond Biscotti Barrel-Aged Might Meets Right (2018) by @temperancebeer at @FischmanHouse  ,41.9544,-87.7493,17031150200,0.0,healthy,0,17031
119,mango,Drinking a Milkshake Nawi Mango by Energy City Brewing at @FischmanHouse  ,41.9544,-87.7493,17031150200,0.2732,healthy,0,17031
120,almond,"That moment when you grab your almond milk out of the fridge and it's frozen solid  @ Seattle, Washington ",47.6046,-122.3308,53033008100,0.1531,healthy,0,53033
121,avocado,"@hellofresh Monterey Jack Chicken Sandwich. With Balsamic Onions &amp; Potato Wedges. I  added extra cheese, garlic with the onions, &amp; sliced Avocado #itsinthebag #hellofreshpics ",47.6046,-122.3308,53033008100,0.0,healthy,0,53033
122,avocado,By far one of my most favorite bumper sticker. I mean dont we all love a good avocado . @ Downtown Seattle ,47.60805556,-122.33611111,53033008100,0.4263,healthy,0,53033
123,beef,Got a taste of Turkey today with some beef pides in misscafe.seattle with @savorseattle and the @pike_place tour  enjoyed this and a handful of other stops during my last full day here ,47.609390000000005,-122.3408,53033008100,0.4019,healthy,0,53033
124,cherry,"Its Cherry Blossom season in Seattle.  (@ University of Washington - @uw in Seattle, WA)  ",47.60903596,-122.335127,53033008100,0.0,healthy,0,53033
125,cherry,"My up close photo of Japanese Cherry Blossoms in full bloom. Brought to you by yours truly on a sunny, Spring Saturday in Seattle, Washington. #jadorelessamedis #ilovesaturdays ",47.6064,-122.34,53033008100,0.6908,healthy,0,53033
126,chicken,Been working on a new project and we are are excited to share it with the world soon. Eat ugly...lol...attack! #fortherealones #dontforgetthepeanutoil #chicken #castiron #friedchicken ,47.6046,-122.3308,53033008100,0.5983,healthy,0,53033
